Title,Authors,URL,DOI,Published Date,Summary
Choco-solver: A Java library for constraint programming,"Charles Prud’homme, Jean-Guillaume Fages",https://joss.theoj.org/papers/10.21105/joss.04708.pdf,10.21105/joss.04708,2022,Constraint Programming (CP) is a powerful paradigm for combinatorial search problems. This JOSS paper documents Choco-solver as a Java CP library and is the cleanest citation for the solver backend used throughout your report.
CSPLIB: A Benchmark Library for Constraints,"Ian P. Gent, T. Walsh",https://www.semanticscholar.org/paper/7b7ba2622ab2dbb690622189aebbb591005fbc0c,10.1007/978-3-540-48085-3_36,1999,"CSPLib was created as a benchmark library for constraint problems. The paper stresses diversity, extensibility, and solver-independence, which fits your benchmark-suite discussion."
CSPLib: Twenty Years On,"Ian P. Gent, T. Walsh",https://www.semanticscholar.org/paper/006ba45d10adfba9e2c45bd358056523763e94a3,,2019,This follow-up revisits CSPLib after twenty years and explains why natural-language benchmark descriptions still matter. It is a good citation for your remarks about representation and benchmarking in constraint programming.
PYCSP3: Modeling Combinatorial Constrained Problems in Python,"Christophe Lecoutre, N. Szczepanski",https://www.semanticscholar.org/paper/68d417122dcf309488b0aa1194ccd8ffa6b9a89f,,2020,"PyCSP3 is a Python modelling library that cleanly separates model construction from solving. It is useful as a citation for the modeling/solving split, even if you keep Choco as the concrete backend."
Is Neuro-Symbolic AI Meeting its Promise in Natural Language Processing? A Structured Review,"Kyle Hamilton, Aparna Nayak, Bojan Bozic, Longo Luca",https://content.iospress.com:443/download/semantic-web/sw223228?id=semantic-web%2Fsw223228,10.3233/SW-223228,2022,"This structured review asks whether neuro-symbolic AI is meeting its promises in NLP, focusing on reasoning, out-of-distribution generalization, interpretability, learning from small data, and transfer to new domains. It fits your section defining neuro-symbolic systems and why they are attractive."
Prompt2DeModel: Declarative Neuro-Symbolic Modeling with Natural Language,"Hossein Rajaby Faghihi, Aliakbar Nafar, Andrzej Uszok, Hamid Karimian, Parisa Kordjamshidi",https://arxiv.org/pdf/2407.20513,10.48550/arXiv.2407.20513,2024,Prompt2DeModel uses large language models to generate declarative programs from natural language prompts. It is a strong modern reference for the NL-to-symbolic-model pipeline that sits closest to your task.
Chain of Thought Prompting Elicits Reasoning in Large Language Models,"Jason Wei, Xuezhi Wang, Dale Schuurmans, Maarten Bosma, Ed H. Chi, F. Xia, Quoc Le, Denny Zhou",https://www.semanticscholar.org/paper/1b6e810ce0afd0dd093f789d2b2742d047e316d5,10.52202/068431-1800,2022,"This paper shows that chain-of-thought prompting can significantly improve complex reasoning in LLMs, including symbolic tasks. It supports your section on prompting families and the case for reasoning traces."
Iteratively Prompt Pre-trained Language Models for Chain of Thought,"Boshi Wang, Xiang Deng, Huan Sun",https://aclanthology.org/2022.emnlp-main.174.pdf,10.18653/v1/2022.emnlp-main.174,2022,This paper proposes an iterative prompting framework that dynamically synthesizes prompts conditioned on the current reasoning step. It is a good citation for any discussion of iterative refinement or staged prompting.
AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,"Qingyun Wu, Gagan Bansal, Jieyu Zhang, Yiran Wu, Beibin Li, E. Zhu, Li Jiang, Xiaoyun Zhang, Shaokun Zhang, Jiale Liu, A. Awadallah, Ryen W. White, D. Burger, Chi Wang",https://www.semanticscholar.org/paper/9ea0757c750ab1222a7442d3485a74d1c526b04c,,2023,"AutoGen is a multi-agent conversation framework for building LLM applications with customizable agents, human inputs, and tools. It is the natural citation when you compare single-agent and multi-agent orchestration."
MetaGPT: Meta Programming for Multi-Agent Collaborative Framework,"Sirui Hong, Xiawu Zheng, Jonathan P. Chen, Yuheng Cheng, Ceyao Zhang, Zili Wang, Steven Ka Shing Yau, Z. Lin, Liyang Zhou, Chenyu Ran, Lingfeng Xiao, Chenglin Wu",https://arxiv.org/pdf/2308.00352,10.48550/arXiv.2308.00352,2023,MetaGPT encodes human workflows as a multi-agent meta-programming approach and reports better coherence and correctness on collaborative software-engineering tasks. It fits your argument about role specialization and cascading hallucinations.
ChatDev: Communicative Agents for Software Development,"Cheng Qian, Wei Liu, Hongzhang Liu, Nuo Chen, Yufan Dang, Jiahao Li, Cheng Yang, Weize Chen, Yusheng Su, X. Cong, Juyuan Xu, Dahai Li, Zhiyuan Liu, Maosong Sun",https://aclanthology.org/2024.acl-long.810.pdf,10.18653/v1/2024.acl-long.810,2023,ChatDev is a chat-powered software-development framework with specialized agents that communicate through a chat chain and communicative dehallucination. It is a good second citation alongside AutoGen and MetaGPT.
Towards Cognitive AI Systems: a Survey and Prospective on Neuro-Symbolic AI,"Zishen Wan, Che-Kai Liu, Hanchen Yang, Chaojian Li, Haoran You, Yonggan Fu, Cheng Wan, Tushar Krishna, Y. Lin, A. Raychowdhury",https://arxiv.org/pdf/2401.01040,10.48550/arXiv.2401.01040,2024,"Neuro-symbolic AI is presented as a promising paradigm that fuses neural, symbolic, and probabilistic approaches to improve interpretability, robustness, and trustworthiness. It is a useful broader survey citation for the motivation section and discussion of system-level tradeoffs."
