model,variant,problem_id,category,difficulty,success,first_shot,iterations,compilation_failed,wall_time_s,java_chars,error_category,solver_nodes,solver_backtracks,solver_fails,solver_restarts,solver_solutions_found
qwen,few_shot,4queens,queens,easy,True,False,3,False,106.97,2139,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,8queens,queens,medium,True,False,1,False,26.61,1759,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,sudoku_9x9,sudoku,hard,True,False,3,False,48.55,2668,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_3x3,magic_square,easy,True,False,3,False,55.78,2473,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,magic_square_4x4,magic_square,medium,True,True,0,False,346.93,2560,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,35.03,1916,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,send_more_money,cryptarithmetic,hard,True,False,3,False,89.89,2311,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,job_scheduling,scheduling,hard,False,False,3,True,108.34,3871,compilation_error,,,,,
qwen,few_shot,latin_square_4x4,latin_square,easy,True,False,1,False,180.03,2010,none,5.0,7.0,2.0,0.0,2.0
qwen,few_shot,knapsack_5,knapsack,hard,True,False,3,False,72.65,1740,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,4queens,queens,easy,False,False,3,True,46.41,1712,compilation_error,,,,,
haiku,few_shot,8queens,queens,medium,False,False,3,True,40.29,2172,compilation_error,,,,,
haiku,few_shot,sudoku_9x9,sudoku,hard,True,False,2,False,48.54,3070,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,13.82,2411,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_4x4,magic_square,medium,False,False,3,True,51.28,2967,compilation_error,,,,,
haiku,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,19.96,1982,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,send_more_money,cryptarithmetic,hard,True,False,3,False,51.94,2468,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,job_scheduling,scheduling,hard,False,False,3,True,65.87,4690,compilation_error,,,,,
haiku,few_shot,latin_square_4x4,latin_square,easy,True,False,2,False,29.42,1916,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,knapsack_5,knapsack,hard,False,False,3,True,38.93,1638,compilation_error,,,,,
deepseek,few_shot,4queens,queens,easy,True,True,0,False,55.6,1722,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,8queens,queens,medium,True,True,0,False,55.44,1169,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,sudoku_9x9,sudoku,hard,True,True,0,False,59.48,2797,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,46.62,2480,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_4x4,magic_square,medium,True,True,0,False,55.45,2183,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,58.23,2205,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,send_more_money,cryptarithmetic,hard,True,True,0,False,120.55,17,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,job_scheduling,scheduling,hard,True,True,0,False,124.4,17,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,3258.65,1908,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,knapsack_5,knapsack,hard,True,True,0,False,117.68,17,none,5.0,7.0,2.0,0.0,2.0
